candidate_id,rank,score,reasoning
CAND_0018499,1,0.9990,"Strong fit — Senior Machine Learning Engineer at Zomato (7.2 yrs exp); ranking/recommendation system work; corroborated skills: Weaviate, Recommendation Systems, Pinecone, Information Retrieval; based in Pune/Noida (JD-preferred hub)."
CAND_0046525,2,0.9729,"Strong fit — Senior Machine Learning Engineer at Genpact AI (6.1 yrs exp); ranking/recommendation system work; corroborated skills: Elasticsearch, LangChain, Machine Learning, Information Retrieval; based in Pune/Noida (JD-preferred hub)."
CAND_0050454,3,0.9696,"Strong fit — AI Engineer at Rephrase.ai (6.8 yrs exp); ranking/recommendation system work; corroborated skills: LangChain, QLoRA, Fine-tuning LLMs, FAISS; based in a welcomed Tier-1 India city."
CAND_0081846,4,0.9660,"Strong fit — Lead AI Engineer at Razorpay (6.7 yrs exp); embeddings-based retrieval work; corroborated skills: Information Retrieval, Learning to Rank, Elasticsearch, Vector Search; elsewhere in India but open to relocation."
CAND_0041669,5,0.9507,"Strong fit — Recommendation Systems Engineer at CRED (8.0 yrs exp); ranking/recommendation system work; corroborated skills: FAISS, Milvus, PEFT, QLoRA; based in Pune/Noida (JD-preferred hub)."
CAND_0062247,6,0.9486,"Strong fit — AI Engineer at Google (7.3 yrs exp); ranking/recommendation system work; corroborated skills: Pinecone, Vector Search, Qdrant, RAG; elsewhere in India but open to relocation."
CAND_0077337,7,0.9473,"Strong fit — Staff Machine Learning Engineer at Paytm (7.0 yrs exp); ranking/recommendation system work; corroborated skills: Semantic Search, QLoRA, Pinecone, BM25; elsewhere in India but open to relocation."
CAND_0083879,8,0.9274,"Strong fit — Machine Learning Engineer at Ola (7.1 yrs exp); ranking/recommendation system work; corroborated skills: Fine-tuning LLMs, Milvus, Prompt Engineering, Machine Learning; based in Pune/Noida (JD-preferred hub)."
CAND_0064326,9,0.9270,"Strong fit — Search Engineer at Sarvam AI (7.6 yrs exp); ranking/recommendation system work; corroborated skills: Milvus, Semantic Search, Weaviate, RAG; based in a welcomed Tier-1 India city."
CAND_0079387,10,0.9267,"Strong fit — AI Engineer at Microsoft (6.9 yrs exp); vector DB / hybrid search production experience; corroborated skills: Recommendation Systems, Sentence Transformers, Vector Search, OpenSearch; elsewhere in India, relocation preference unclear."
CAND_0002025,11,0.9226,"Strong fit — Senior AI Engineer at Apple (5.9 yrs exp); ranking/recommendation system work; corroborated skills: FAISS, OpenSearch, Weaviate, Sentence Transformers; elsewhere in India, relocation preference unclear."
CAND_0011687,12,0.9215,"Strong fit — Senior NLP Engineer at Niramai (7.8 yrs exp); ranking/recommendation system work; corroborated skills: OpenSearch, FAISS, PEFT, Feature Engineering; elsewhere in India, relocation preference unclear."
CAND_0086022,13,0.9100,"Strong fit — Senior Applied Scientist at Sarvam AI (5.3 yrs exp); ranking/recommendation system work; corroborated skills: Vector Search, Recommendation Systems, Fine-tuning LLMs, Elasticsearch; elsewhere in India but open to relocation."
CAND_0068811,14,0.9096,"Strong fit — Applied ML Engineer at Freshworks (8.0 yrs exp); ranking/recommendation system work; corroborated skills: Vector Search, Kubeflow, Qdrant, Embeddings; based in Pune/Noida (JD-preferred hub)."
CAND_0071974,15,0.9095,"Strong fit — Senior AI Engineer at Netflix (7.8 yrs exp); ranking/recommendation system work; corroborated skills: LoRA, Learning to Rank, Weaviate, PEFT; elsewhere in India, relocation preference unclear."
CAND_0046064,16,0.9082,"Strong fit — Senior NLP Engineer at Salesforce (8.9 yrs exp); ranking/recommendation system work; corroborated skills: Pinecone, BM25, OpenSearch, PEFT; elsewhere in India, relocation preference unclear."
CAND_0099806,17,0.9077,"Strong fit — AI Engineer at Mad Street Den (4.6 yrs exp); ranking/recommendation system work; corroborated skills: LoRA, RAG, Prompt Engineering, FAISS; elsewhere in India but open to relocation."
CAND_0037566,18,0.9070,"Strong fit — Machine Learning Engineer at LinkedIn (6.9 yrs exp); pre-LLM-era applied ML experience; corroborated skills: Pinecone, NLP, LoRA, QLoRA; based in a welcomed Tier-1 India city."
CAND_0036184,19,0.8994,"Strong fit — Recommendation Systems Engineer at CRED (6.0 yrs exp); search/retrieval experience; corroborated skills: QLoRA, FAISS, LangChain, Semantic Search; elsewhere in India, relocation preference unclear."
CAND_0052328,20,0.8988,"Strong fit — Recommendation Systems Engineer at Amazon (6.5 yrs exp); ranking/recommendation system work; corroborated skills: LoRA, OpenSearch, QLoRA, Recommendation Systems; based in Pune/Noida (JD-preferred hub). Concern: inactive 93d."
CAND_0054394,21,0.8956,"Strong fit — Recommendation Systems Engineer at PharmEasy (4.1 yrs exp); ranking/recommendation system work; corroborated skills: Prompt Engineering, Fine-tuning LLMs, Pinecone, Machine Learning; based in Pune/Noida (JD-preferred hub)."
CAND_0000031,22,0.8913,"Strong fit — Recommendation Systems Engineer at Swiggy (6.0 yrs exp); ranking/recommendation system work; corroborated skills: FAISS, Pinecone, Machine Learning, Information Retrieval; based in a welcomed Tier-1 India city."
CAND_0041610,23,0.8903,"Strong fit — Recommendation Systems Engineer at Zoho (6.7 yrs exp); ranking/recommendation system work; corroborated skills: LoRA, Elasticsearch, OpenSearch, LangChain; elsewhere in India but open to relocation."
CAND_0017960,24,0.8894,"Strong fit — Recommendation Systems Engineer at Nykaa (7.7 yrs exp); ranking/recommendation system work; corroborated skills: QLoRA, Machine Learning, Qdrant, PEFT; based in a welcomed Tier-1 India city."
CAND_0044222,25,0.8894,"Strong fit — AI Engineer at PolicyBazaar (7.7 yrs exp); ranking/recommendation system work; corroborated skills: Vector Search, OpenSearch, Qdrant, Feature Engineering; elsewhere in India, relocation preference unclear."
CAND_0027691,26,0.8865,"Strong fit — NLP Engineer at Haptik (6.5 yrs exp); ranking/recommendation system work; corroborated skills: LoRA, PEFT, Recommendation Systems, Weaviate; based in Pune/Noida (JD-preferred hub). Concern: inactive 93d."
CAND_0007009,27,0.8859,"Strong fit — Recommendation Systems Engineer at Wysa (7.9 yrs exp); vector DB / hybrid search production experience; corroborated skills: Weaviate, Embeddings, Learning to Rank, PEFT; based in Pune/Noida (JD-preferred hub). Concern: inactive 105d."
CAND_0018549,28,0.8819,"Strong fit — Recommendation Systems Engineer at Uber (6.8 yrs exp); ranking/recommendation system work; corroborated skills: Weaviate, Elasticsearch, LangChain, Qdrant; elsewhere in India but open to relocation."
CAND_0079284,29,0.8813,"Strong fit — Machine Learning Engineer at Google (4.9 yrs exp); ranking/recommendation system work; corroborated skills: Recommendation Systems, QLoRA, Qdrant, Feature Engineering; based in a welcomed Tier-1 India city."
CAND_0014440,30,0.8791,"Strong fit — Recommendation Systems Engineer at CRED (6.4 yrs exp); ranking/recommendation system work; corroborated skills: Elasticsearch, Milvus, Machine Learning, Feature Engineering; based in a welcomed Tier-1 India city."
CAND_0075574,31,0.8784,"Strong fit — Machine Learning Engineer at Haptik (5.7 yrs exp); ranking/recommendation system work; corroborated skills: Weaviate, Recommendation Systems, OpenSearch, Qdrant; based in a welcomed Tier-1 India city."
CAND_0075249,32,0.8752,"Strong fit — Applied ML Engineer at Zomato (6.2 yrs exp); search/retrieval experience; corroborated skills: Sentence Transformers, Milvus, Machine Learning, Fine-tuning LLMs; elsewhere in India, relocation preference unclear."
CAND_0098846,33,0.8697,"Strong fit — AI Engineer at upGrad (7.6 yrs exp); ranking/recommendation system work; corroborated skills: Kubeflow, PEFT, QLoRA, Machine Learning; elsewhere in India but open to relocation."
CAND_0078002,34,0.8694,"Strong fit — Machine Learning Engineer at Meta (6.3 yrs exp); ranking/recommendation system work; corroborated skills: NLP, Weaviate, QLoRA, LangChain; elsewhere in India, relocation preference unclear."
CAND_0008295,35,0.8680,"Strong fit — AI Research Engineer at Razorpay (6.5 yrs exp); pre-LLM-era applied ML experience; corroborated skills: BM25, Python, PEFT, Weaviate; based in Pune/Noida (JD-preferred hub)."
CAND_0068932,36,0.8659,"Strong fit — ML Engineer at Krutrim (5.2 yrs exp); pre-LLM-era applied ML experience; corroborated skills: MLOps, Reinforcement Learning, Milvus, Prompt Engineering; based in Pune/Noida (JD-preferred hub)."
CAND_0042506,37,0.8658,"Strong fit — Search Engineer at Verloop.io (4.2 yrs exp); pre-LLM-era applied ML experience; corroborated skills: PEFT, Semantic Search, Fine-tuning LLMs, Information Retrieval; based in a welcomed Tier-1 India city."
CAND_0030031,38,0.8608,"Strong fit — AI Engineer at Microsoft (5.7 yrs exp); ranking/recommendation system work; corroborated skills: Information Retrieval, NLP, RAG, LoRA; elsewhere in India, relocation preference unclear."
CAND_0011162,39,0.8607,"Strong fit — Recommendation Systems Engineer at upGrad (5.8 yrs exp); ranking/recommendation system work; corroborated skills: FAISS, Vector Search, LangChain, LoRA; elsewhere in India but open to relocation."
CAND_0007412,40,0.8606,"Strong fit — Applied ML Engineer at Zoho (7.4 yrs exp); ranking/recommendation system work; corroborated skills: Pinecone, Milvus, BM25, RAG; based in Pune/Noida (JD-preferred hub). Concern: 120d notice period."
CAND_0069905,41,0.8587,"Strong fit — Applied ML Engineer at Sarvam AI (6.6 yrs exp); embeddings-based retrieval work; corroborated skills: LoRA, Recommendation Systems, Sentence Transformers, LangChain; elsewhere in India but open to relocation."
CAND_0052682,42,0.8580,"Strong fit — NLP Engineer at Aganitha (6.6 yrs exp); pre-LLM-era applied ML experience; corroborated skills: QLoRA, Semantic Search, FAISS, LLMs; elsewhere in India, relocation preference unclear. Concern: inactive 96d."
CAND_0053591,43,0.8574,"Strong fit — AI Engineer at Ola (5.3 yrs exp); ranking/recommendation system work; corroborated skills: LangChain, Embeddings, Milvus, OpenSearch; outside India (no visa sponsorship)."
CAND_0006418,44,0.8565,"Strong fit — Machine Learning Engineer at Verloop.io (5.7 yrs exp); ranking/recommendation system work; corroborated skills: Semantic Search, Weaviate, Elasticsearch, MLflow; based in a welcomed Tier-1 India city. Concern: inactive 93d."
CAND_0066999,45,0.8547,"Strong fit — Recommendation Systems Engineer at Microsoft (5.9 yrs exp); ranking/recommendation system work; corroborated skills: OpenSearch, FAISS, LLMs, Pinecone; based in a welcomed Tier-1 India city."
CAND_0009024,46,0.8534,"Strong fit — Search Engineer at Google (5.2 yrs exp); pre-LLM-era applied ML experience; corroborated skills: Qdrant, PEFT, FAISS, Machine Learning; based in a welcomed Tier-1 India city."
CAND_0039754,47,0.8491,"Strong fit — Senior Applied Scientist at Meta (16.2 yrs exp); embeddings-based retrieval work; corroborated skills: Fine-tuning LLMs, Qdrant, OpenSearch, LLMs; elsewhere in India but open to relocation."
CAND_0040887,48,0.8460,"Strong fit — Machine Learning Engineer at Netflix (4.7 yrs exp); vector DB / hybrid search production experience; corroborated skills: FAISS, LoRA, LangChain, PEFT; outside India (no visa sponsorship)."
CAND_0043228,49,0.8451,"Strong fit — Applied ML Engineer at Zoho (6.8 yrs exp); ranking/recommendation system work; corroborated skills: NLP, Machine Learning, Vector Search, Sentence Transformers; based in a welcomed Tier-1 India city."
CAND_0057563,50,0.8442,"Strong fit — NLP Engineer at Locobuzz (6.8 yrs exp); ranking/recommendation system work; corroborated skills: RAG, Elasticsearch, Feature Engineering, OpenSearch; elsewhere in India but open to relocation."
CAND_0080766,51,0.8442,"Strong fit — Staff Machine Learning Engineer at Salesforce (8.8 yrs exp); search/retrieval experience; corroborated skills: LoRA, Search & Discovery, Information Retrieval Systems, Elasticsearch; elsewhere in India but open to relocation."
CAND_0006567,52,0.8435,"Strong fit — Senior AI Engineer at Meta (7.9 yrs exp); ranking/recommendation system work; corroborated skills: BM25, Prompt Engineering, Recommendation Systems; based in Pune/Noida (JD-preferred hub)."
CAND_0052335,53,0.8430,"Strong fit — Applied ML Engineer at Aganitha (6.4 yrs exp); ranking/recommendation system work; corroborated skills: Machine Learning, Learning to Rank, NLP, Semantic Search; outside India (no visa sponsorship)."
CAND_0065195,54,0.8428,"Strong fit — Search Engineer at CRED (5.1 yrs exp); embeddings-based retrieval work; corroborated skills: LLMs, QLoRA, Elasticsearch, Qdrant; elsewhere in India, relocation preference unclear."
CAND_0030468,55,0.8426,"Strong fit — Senior Applied Scientist at Swiggy (5.4 yrs exp); search/retrieval experience; corroborated skills: Information Retrieval Systems, Search & Discovery, Machine Learning, OpenSearch; elsewhere in India but open to relocation."
CAND_0051292,56,0.8366,"Strong fit — Applied ML Engineer at Freshworks (5.2 yrs exp); ranking/recommendation system work; corroborated skills: FAISS, LLMs, Vector Search, PEFT; elsewhere in India, relocation preference unclear."
CAND_0008425,57,0.8358,"Strong fit — Senior NLP Engineer at Ola (7.8 yrs exp); search/retrieval experience; corroborated skills: Learning to Rank, Qdrant, Sentence Transformers, NLP; elsewhere in India, relocation preference unclear."
CAND_0033179,58,0.8351,"Strong fit — AI Research Engineer at Wipro (6.9 yrs exp); pre-LLM-era applied ML experience; corroborated skills: OpenSearch, PyTorch, MLOps, scikit-learn; elsewhere in India but open to relocation."
CAND_0088025,59,0.8351,"Strong fit — Staff Machine Learning Engineer at Yellow.ai (8.6 yrs exp); vector DB / hybrid search production experience; corroborated skills: Pinecone, QLoRA, LLMs, RAG; elsewhere in India, relocation preference unclear."
CAND_0061655,60,0.8314,"Strong fit — Machine Learning Engineer at Krutrim (4.6 yrs exp); ranking/recommendation system work; corroborated skills: PEFT, Pinecone, Machine Learning, Qdrant; elsewhere in India, relocation preference unclear."
CAND_0039838,61,0.8270,"Strong fit — Recommendation Systems Engineer at Amazon (4.9 yrs exp); ranking/recommendation system work; corroborated skills: Semantic Search, LangChain, LoRA, RAG; elsewhere in India, relocation preference unclear."
CAND_0097176,62,0.8261,"Strong fit — ML Engineer at TCS (5.9 yrs exp); pre-LLM-era applied ML experience; corroborated skills: FAISS, PyTorch, LangChain; based in a welcomed Tier-1 India city."
CAND_0010685,63,0.8245,"Strong fit — NLP Engineer at Rephrase.ai (6.7 yrs exp); ranking/recommendation system work; corroborated skills: Prompt Engineering, Information Retrieval, Elasticsearch, MLflow; elsewhere in India, relocation preference unclear. Concern: inactive 108d."
CAND_0076163,64,0.8244,"Strong fit — NLP Engineer at Ola (6.9 yrs exp); ranking/recommendation system work; corroborated skills: Weaviate, LangChain, BM25, Semantic Search; elsewhere in India, relocation preference unclear."
CAND_0040117,65,0.8232,"Strong fit — Recommendation Systems Engineer at PhonePe (6.5 yrs exp); ranking/recommendation system work; corroborated skills: Embeddings, RAG, FAISS, BM25; elsewhere in India, relocation preference unclear. Concern: inactive 107d."
CAND_0007596,66,0.8217,"Strong fit — Junior ML Engineer at Flipkart (4.4 yrs exp); pre-LLM-era applied ML experience; corroborated skills: Reinforcement Learning, scikit-learn, Machine Learning, Python; based in a welcomed Tier-1 India city."
CAND_0020350,67,0.8197,"Strong fit — AI Engineer at Zoho (5.8 yrs exp); ranking/recommendation system work; corroborated skills: NLP, LoRA, LLMs, PEFT; elsewhere in India, relocation preference unclear."
CAND_0092255,68,0.8187,"Strong fit — ML Engineer at InMobi (5.2 yrs exp); pre-LLM-era applied ML experience; corroborated skills: Machine Learning, PyTorch, Weaviate, Semantic Search; based in Pune/Noida (JD-preferred hub)."
CAND_0050876,69,0.8177,"Strong fit — Applied ML Engineer at Freshworks (6.0 yrs exp); ranking/recommendation system work; corroborated skills: Qdrant, FAISS, Machine Learning, OpenSearch; elsewhere in India, relocation preference unclear."
CAND_0077285,70,0.8176,"Strong fit — Recommendation Systems Engineer at Nykaa (5.5 yrs exp); ranking/recommendation system work; corroborated skills: LoRA, Pinecone, Sentence Transformers, Embeddings; elsewhere in India, relocation preference unclear."
CAND_0055905,71,0.8158,"Strong fit — Senior Machine Learning Engineer at Flipkart (8.1 yrs exp); embeddings-based retrieval work; corroborated skills: Elasticsearch, LangChain, LLMs, OpenSearch; outside India (no visa sponsorship). Concern: no external validation signal (no GitHub, no certifications)."
CAND_0091909,72,0.8150,"Strong fit — Machine Learning Engineer at Rephrase.ai (6.9 yrs exp); ranking/recommendation system work; corroborated skills: LLMs, Pinecone, QLoRA, Qdrant; based in a welcomed Tier-1 India city. Concern: inactive 106d."
CAND_0054123,73,0.8144,"Strong fit — Applied ML Engineer at Meta (4.7 yrs exp); search/retrieval experience; corroborated skills: LangChain, Weaviate, Qdrant, Vector Search; based in a welcomed Tier-1 India city."
CAND_0081686,74,0.8134,"Strong fit — Search Engineer at Netflix (6.0 yrs exp); ranking/recommendation system work; corroborated skills: Machine Learning, Embeddings, FAISS, Feature Engineering; outside India (no visa sponsorship)."
CAND_0010149,75,0.8129,"Strong fit — ML Engineer at Glance (6.9 yrs exp); pre-LLM-era applied ML experience; corroborated skills: Computer Vision, Milvus, Vector Search, Learning to Rank; based in a welcomed Tier-1 India city."
CAND_0078492,76,0.8124,"Strong fit — Recommendation Systems Engineer at Verloop.io (5.1 yrs exp); ranking/recommendation system work; corroborated skills: Machine Learning, FAISS, Recommendation Systems, BM25; elsewhere in India but open to relocation. Concern: inactive 92d."
CAND_0020877,77,0.8114,"Strong fit — Applied ML Engineer at CRED (5.1 yrs exp); vector DB / hybrid search production experience; corroborated skills: QLoRA, Elasticsearch, OpenSearch, Information Retrieval; based in a welcomed Tier-1 India city."
CAND_0020708,78,0.8104,"Strong fit — Search Engineer at PolicyBazaar (4.2 yrs exp); search/retrieval experience; corroborated skills: NLP, Learning to Rank, Elasticsearch, LangChain; elsewhere in India, relocation preference unclear. Concern: inactive 99d."
CAND_0058575,79,0.8085,"Strong fit — AI Engineer at Krutrim (5.8 yrs exp); vector DB / hybrid search production experience; corroborated skills: Machine Learning, Recommendation Systems, Pinecone, Sentence Transformers; based in a welcomed Tier-1 India city."
CAND_0028793,80,0.8084,"Strong fit — Search Engineer at Google (7.2 yrs exp); ranking/recommendation system work; corroborated skills: Embeddings, LoRA, Learning to Rank, Information Retrieval; elsewhere in India but open to relocation. Concern: 120d notice period."
CAND_0074225,81,0.8069,"Strong fit — Machine Learning Engineer at Unacademy (4.3 yrs exp); ranking/recommendation system work; corroborated skills: Recommendation Systems, Semantic Search, Elasticsearch, Milvus; elsewhere in India but open to relocation. Concern: 120d notice period."
CAND_0036437,82,0.8053,"Strong fit — Search Engineer at Rephrase.ai (4.8 yrs exp); ranking/recommendation system work; corroborated skills: Kubeflow, OpenSearch, Elasticsearch, Feature Engineering; elsewhere in India but open to relocation."
CAND_0039383,83,0.8036,"Strong fit — Applied ML Engineer at Meesho (7.1 yrs exp); ranking/recommendation system work; corroborated skills: FAISS, Recommendation Systems, QLoRA, Feature Engineering; based in a welcomed Tier-1 India city. Concern: inactive 105d."
CAND_0078042,84,0.8026,"Strong fit — Applied ML Engineer at PolicyBazaar (4.7 yrs exp); ranking/recommendation system work; corroborated skills: OpenSearch, Sentence Transformers, NLP, Semantic Search; outside India (no visa sponsorship)."
CAND_0096142,85,0.7989,"Strong fit — Applied ML Engineer at upGrad (5.0 yrs exp); ranking/recommendation system work; corroborated skills: LoRA, Weaviate, Pinecone, RAG; based in a welcomed Tier-1 India city. Concern: 120d notice period."
CAND_0010603,86,0.7980,"Strong fit — ML Engineer at BYJU'S (5.3 yrs exp); pre-LLM-era applied ML experience; corroborated skills: Information Retrieval, OpenSearch, Machine Learning, MLOps; based in a welcomed Tier-1 India city."
CAND_0030953,87,0.7979,"Strong fit — Search Engineer at Nykaa (7.8 yrs exp); ranking/recommendation system work; corroborated skills: Learning to Rank, Qdrant, Weaviate, RAG; based in a welcomed Tier-1 India city."
CAND_0018722,88,0.7978,"Strong fit — Recommendation Systems Engineer at Saarthi.ai (6.6 yrs exp); ranking/recommendation system work; corroborated skills: Weaviate, Recommendation Systems, LLMs, PEFT; outside India (no visa sponsorship)."
CAND_0046132,89,0.7978,"Strong fit — AI Research Engineer at Verloop.io (4.3 yrs exp); pre-LLM-era applied ML experience; corroborated skills: Data Science, Information Retrieval, MLOps, Fine-tuning LLMs; based in Pune/Noida (JD-preferred hub)."
CAND_0027801,90,0.7974,"Strong fit — NLP Engineer at InMobi (7.4 yrs exp); search/retrieval experience; corroborated skills: FAISS, Milvus, QLoRA, OpenSearch; based in a welcomed Tier-1 India city. Concern: 120d notice period."
CAND_0070398,91,0.7930,"Strong fit — Machine Learning Engineer at Genpact AI (7.2 yrs exp); ranking/recommendation system work; corroborated skills: BM25, RAG, FAISS, LoRA; elsewhere in India but open to relocation. Concern: 120d notice period."
CAND_0060054,92,0.7922,"Strong fit — AI Engineer at Mad Street Den (6.4 yrs exp); ranking/recommendation system work; corroborated skills: Weaviate, FAISS, Feature Engineering, Prompt Engineering; elsewhere in India but open to relocation. Concern: inactive 107d."
CAND_0049538,93,0.7908,"Strong fit — Applied ML Engineer at Saarthi.ai (5.8 yrs exp); ranking/recommendation system work; corroborated skills: Feature Engineering, MLflow, Learning to Rank, OpenSearch; elsewhere in India, relocation preference unclear."
CAND_0005311,94,0.7907,"Strong fit — AI Research Engineer at Aganitha (5.7 yrs exp); pre-LLM-era applied ML experience; corroborated skills: LoRA, Prompt Engineering, Semantic Search, Qdrant; based in a welcomed Tier-1 India city."
CAND_0016163,95,0.7906,"Strong fit — Applied ML Engineer at Dream11 (6.7 yrs exp); search/retrieval experience; corroborated skills: Weaviate, LoRA, Pinecone, Machine Learning; based in a welcomed Tier-1 India city. Concern: 120d notice period."
CAND_0016659,96,0.7883,"Strong fit — ML Engineer at Glance (4.4 yrs exp); pre-LLM-era applied ML experience; corroborated skills: Sentence Transformers, Pinecone, PEFT, FAISS; elsewhere in India, relocation preference unclear."
CAND_0076831,97,0.7882,"Strong fit — Search Engineer at Krutrim (4.0 yrs exp); ranking/recommendation system work; corroborated skills: LLMs, Milvus, BM25, Weaviate; based in a welcomed Tier-1 India city."
CAND_0087364,98,0.7881,"Strong fit — Recommendation Systems Engineer at Glance (4.9 yrs exp); ranking/recommendation system work; corroborated skills: Qdrant, Milvus, Pinecone, RAG; based in a welcomed Tier-1 India city."
CAND_0061257,99,0.7877,"Strong fit — Staff Machine Learning Engineer at LinkedIn (8.0 yrs exp); search/retrieval experience; corroborated skills: PEFT, Machine Learning, Information Retrieval Systems; based in Pune/Noida (JD-preferred hub)."
CAND_0015057,100,0.7875,"Strong fit — ML Engineer at Meesho (4.6 yrs exp); pre-LLM-era applied ML experience; corroborated skills: Sentence Transformers, Computer Vision, Vector Search, PEFT; based in Pune/Noida (JD-preferred hub)."
